<eps>	sil 
nhám	ɲ aː˦˥ m 
nhánh	ɲ a˦˥ n 
nháo	ɲ aː˦˥ w 
nháp	ɲ aː˦˥ p 
nhát	ɲ aː˦˥ k 
nháy	ɲ a˦˥ j 
nhâm	ɲ ə˨˥ m 
nhân	ɲ ə˨˥ ŋ 
nhât	ɲ ə˨˥ k 
nhây	ɲ ə˨˥ j 
nhã	ɲ aː˨ˀ˥ 
nhãi	ɲ aː˨ˀ˥ j 
nhãn	ɲ aː˨ˀ˥ n 
nhãng	ɲ aː˨ˀ˥ ŋ 
nhão	ɲ aː˨ˀ˥ w 
nhè	ɲ ɛː˦˨ 
nhé	ɲ ɛː˦˥ 
nhéo	ɲ ɛː˦˥ w 
nhép	ɲ ɛː˦˥ p 
nhét	ɲ ɛː˦˥ k 
nhì	ɲ iː˨˨ 
nhìn	ɲ iː˨˨ n 
nhí	ɲ iː˨˦ 
nhích	ɲ i˦˥ c 
nhím	ɲ iː˨˦ m 
nhíp	ɲ iː˦˥ p 
nhít	ɲ iː˦˥ t 
nhíu	ɲ iː˨˦ w 
nhòm	ɲ ɔː˦˨ m 
nhóc	ɲ ɔ˦˥ kp 
nhói	ɲ ɔː˦˥ j 
nhóm	ɲ ɔː˦˥ m 
nhón	ɲ ɔː˦˥ ŋ 
nhót	ɲ ɔː˦˥ k 
nhô	ɲ oː˨˥ 
nhôm	ɲ oː˨˥ m 
nhông	ɲ o˨˨ ŋm 
nhôông	ɲ oː˨˥ ŋm 
nhú	ɲ uː˨˦ 
nhúc	ɲ u˦˥ kp 
nhúm	ɲ uː˨˦ m 
nhún	ɲ uː˨˦ n 
nhúng	ɲ u˦˥ ŋm 
nhút	ɲ uː˦˥ t 
nhăm	ɲ a˨˥ m 
nhăn	ɲ a˨˥ ŋ 
nhăng	ɲ a˨˥ ŋ 
nhĩ	ɲ iː˨ˀ˥ 
nhũn	ɲ uː˨ˀ˥ n 
nhũng	ɲ u˨ˀ˥ ŋm 
nhơ	ɲ əː˨˥ 
nhơi	ɲ əː˨˥ j 
nhơn	ɲ əː˨˥ ŋ 
như	ɲ ɨː˨˨ 
nhưng	ɲ ɨ˨˥ ŋ 
nhướn	ɲ ɨə˨˦ n 
nhường	ɲ ɨə˨˨ ŋ 
nhược	ɲ ɨə˨˩ k 
nhượng	ɲ ɨə˨˩ˀ ŋ 
nhạc	ɲ aː˨˩ k 
nhại	ɲ aː˨˩ j 
nhạn	ɲ aː˨˩ ŋ 
nhạo	ɲ aː˨˩ w 
nhạt	ɲ aː˨˩ k 
nhạy	ɲ a˨˩ j 
nhả	ɲ aː˨˨ˀ 
nhảm	ɲ aː˨˨ˀ m 
nhảy	ɲ a˨˨ˀ j 
nhấc	ɲ ə˦˥ k 
nhấm	ɲ ə˦˥ m 
nhấn	ɲ ə˦˥ ŋ 
nhấp	ɲ ə˦˥ p 
nhất	ɲ ə˦˥ k 
nhầm	ɲ ə˦˨ m 
nhầy	ɲ ə˦˨ j 
nhẩm	ɲ ə˨˨ˀ m 
nhẫn	ɲ ə˨ˀ˥ n 
nhậm	ɲ ə˨˩ m 
nhận	ɲ ə˨˩ ŋ 
nhập	ɲ ə˨˩ p 
nhật	ɲ ə˨˩ k 
nhậu	ɲ ə˨˩ w 
nhắc	ɲ a˦˥ k 
nhắm	ɲ a˦˥ m 
nhắn	ɲ a˦˥ ŋ 
nhắt	ɲ a˦˥ k 
nhằm	ɲ a˦˨ m 
nhằn	ɲ a˦˨ ŋ 
nhằng	ɲ a˦˨ ŋ 
nhẵn	ɲ a˨ˀ˥ n 
nhặng	ɲ a˨˩ ŋ 
nhặt	ɲ a˨˩ k 
nhẹ	ɲ ɛː˨˩ 
nhẹn	ɲ ɛː˨˩ ŋ 
nhẹp	ɲ ɛː˨˩ p 
nhẽo	ɲ ɛː˨ˀ˥ w 
nhếch	ɲ e˦˥ c 
nhể	ɲ eː˨˨ˀ 
nhễ	ɲ eː˨ˀ˥ 
nhện	ɲ eː˨˩ˀ n 
nhỉ	ɲ iː˨˩˨ 
nhỉnh	ɲ i˨˩˨ ɲ 
nhị	ɲ iː˨˩ˀ 
nhịn	ɲ iː˨˩ˀ n 
nhịp	ɲ iː˨˩ p 
nhọ	ɲ ɔː˨˩ 
nhọc	ɲ ɔ˨˩ kp 
nhọn	ɲ ɔː˨˩ ŋ 
nhọt	ɲ ɔː˨˩ k 
nhỏ	ɲ ɔː˨˨ˀ 
nhỏng	ɲ ɔ˨˨ˀ ŋm 
nhố	ɲ oː˦˥ 
nhối	ɲ oː˦˥ j 
nhốt	ɲ oː˦˥ t 
nhồi	ɲ oː˦˨ j 
nhổ	ɲ oː˨˨ˀ 
nhổm	ɲ oː˨˨ˀ m 
nhộn	ɲ oː˨˩ˀ n 
nhộng	ɲ o˨˩ˀ ŋm 
nhột	ɲ oː˨˩ t 
nhớ	ɲ əː˦˥ 
nhớn	ɲ əː˦˥ ŋ 
nhớp	ɲ əː˦˥ p 
nhớt	ɲ əː˦˥ k 
nhờ	ɲ əː˦˨ 
nhời	ɲ əː˦˨ j 
nhờn	ɲ əː˦˨ ŋ 
nhở	ɲ əː˨˨ˀ 
nhởi	ɲ əː˨˨ˀ j 
nhỡ	ɲ əː˨ˀ˥ 
nhợn	ɲ əː˨˩ ŋ 
nhợt	ɲ əː˨˩ k 
nhục	ɲ u˨˩ kp 
nhủ	ɲ uː˨˩˨ 
nhủi	ɲ uː˨˩˨ j 
nhức	ɲ ɨ˦˥ k 
nhừ	ɲ ɨː˨˨ 
nhử	ɲ ɨː˨˩˨ 
những	ɲ ɨ˨ˀ˥ ŋ 
nhựa	ɲ ɨə˨˩ 
ni	n iː˨˨ 
ninh	n i˨˨ ɲ 
niu	n iː˨˨ w 
niêm	n iə˨˨ m 
niên	n iə˨˨ n 
niêu	n iə˨˨ w 
niềm	n iə˨˨ m 
niền	n iə˨˨ n 
niềng	n iə˨˨ ŋ 
niễng	n iə˨ˀ˥ ŋ 
niệm	n iə˨˩ˀ m 
niệt	n iə˨˩ t 
no	n ɔː˨˥ 
noi	n ɔː˨˥ j 
nom	n ɔː˨˥ m 
non	n ɔː˨˥ ŋ 
nong	n ɔ˨˥ ŋm 
noãn	n w aː˨ˀ˥ n 
nui	n uː˨˨ j 
nung	n u˨˥ ŋm 
nuy	n w iː˨˨ 
nuôi	n uə˨˨ j 
nuối	n uə˨˦ j 
nuốt	n uə˦˥ t 
nuột	n uə˨˩ t 
ny	n iː˨˨ 
nài	n aː˦˨ j 
nàn	n aː˦˨ ŋ 
nàng	n aː˦˨ ŋ 
nành	n a˦˨ n 
nào	n aː˦˨ w 
này	n a˦˨ j 
ná	n aː˦˥ 
nách	n a˦˥ c 
nái	n aː˦˥ j 
nám	n aː˦˥ m 
nán	n aː˦˥ ŋ 
náng	n aː˦˥ ŋ 
náo	n aː˦˥ w 
nát	n aː˦˥ k 
náu	n a˦˥ w 
nâng	n ə˨˥ ŋ 
nâu	n ə˨˥ w 
nã	n aː˨ˀ˥ 
não	n aː˨ˀ˥ w 
nãy	n a˨ˀ˥ j 
nè	n ɛː˦˨ 
né	n ɛː˦˥ 
ném	n ɛː˦˥ m 
nén	n ɛː˦˥ ŋ 
nép	n ɛː˦˥ p 
nét	n ɛː˦˥ k 
nê	n eː˨˥ 
nêm	n eː˨˥ m 
nên	n eː˨˨ n 
nêu	n eː˨˥ w 
ních	n i˦˥ c 
nín	n iː˨˦ n 
níu	n iː˨˦ w 
nòi	n ɔː˦˨ j 
nòng	n ɔ˦˨ ŋm 
nó	n ɔː˦˥ 
nóc	n ɔ˦˥ kp 
nói	n ɔː˦˥ j 
nón	n ɔː˦˥ ŋ 
nóng	n ɔ˦˥ ŋm 
nô	n oː˨˥ 
nôi	n oː˨˥ j 
nôm	n oː˨˥ m 
nôn	n oː˨˨ n 
nông	n o˨˨ ŋm 
nõ	n ɔː˨ˀ˥ 
nõn	n ɔː˨ˀ˥ n 
nùi	n uː˨˨ j 
nùng	n u˦˨ ŋm 
núc	n u˦˥ kp 
núi	n uː˨˦ j 
núm	n uː˨˦ m 
núp	n uː˦˥ p 
nút	n uː˦˥ t 
năm	n a˨˥ m 
năng	n a˨˥ ŋ 
nĩa	n iə˨ˀ˥ 
nơ	n əː˨˥ 
nơi	n əː˨˥ j 
nương	n ɨə˨˨ ŋ 
nước	n ɨə˦˥ k 
nướng	n ɨə˨˦ ŋ 
nướu	n ɨə˨˦ w 
nười	n ɨə˨˨ j 
nườm	n ɨə˨˨ m 
nượp	n ɨə˨˩ p 
nạ	n aː˨˩ 
nạc	n aː˨˩ k 
nại	n aː˨˩ j 
nạm	n aː˨˩ m 
nạn	n aː˨˩ ŋ 
nạng	n aː˨˩ ŋ 
nạo	n aː˨˩ w 
nạp	n aː˨˩ p 
nạt	n aː˨˩ k 
nạy	n a˨˩ j 
nải	n aː˨˨ˀ j 
nản	n aː˨˨ˀ ŋ 
nảy	n a˨˨ˀ j 
nấc	n ə˦˥ k 
nấm	n ə˦˥ m 
nấp	n ə˦˥ p 
nấu	n ə˦˥ w 
nấy	n ə˦˥ j 
nần	n ə˦˨ ŋ 
nầy	n ə˦˨ j 
nẩu	n ə˨˨ˀ w 
nẩy	n ə˨˨ˀ j 
nẫu	n ə˨ˀ˥ w 
nập	n ə˨˩ p 
nậy	n ə˨˩ j 
nắm	n a˦˥ m 
nắn	n a˦˥ ŋ 
nắng	n a˦˥ ŋ 
nắp	n a˦˥ p 
nằm	n a˦˨ m 
nằng	n a˦˨ ŋ 
nẳm	n a˨˨ˀ m 
nẵng	n a˨ˀ˥ ŋ 
nặc	n a˨˩ k 
nặn	n a˨˩ ŋ 
nặng	n a˨˩ ŋ 
nẹp	n ɛː˨˩ p 
nẻ	n ɛː˨˨ˀ 
nẻo	n ɛː˨˨ˀ w 
nếm	n eː˦˥ m 
nến	n eː˨˦ n 
nếp	n eː˦˥ p 
nết	n eː˦˥ t 
nếu	n eː˦˥ w 
nề	n eː˦˨ 
nền	n eː˨˨ n 
nể	n eː˨˨ˀ 
nệm	n eː˨˩ m 
nện	n eː˨˩ˀ n 
nỉ	n iː˨˩˨ 
nịch	n i˨˩ c 
nịnh	n i˨˩ˀ ɲ 
nịt	n iː˨˩ t 
nọ	n ɔː˨˩ 
nọc	n ɔ˨˩ kp 
nọng	n ɔ˨˩ ŋm 
nỏ	n ɔː˨˨ˀ 
nốc	n o˦˥ kp 
nối	n oː˦˥ j 
nốt	n oː˦˥ t 
nồi	n oː˦˨ j 
nồng	n o˨˨ ŋm 
nổ	n oː˨˨ˀ 
nổi	n oː˨˨ˀ j 
nỗ	n oː˨ˀ˥ 
nỗi	n oː˨ˀ˥ j 
nộ	n oː˨˩ 
nội	n oː˨˩ j 
nộm	n oː˨˩ m 
nộp	n oː˨˩ p 
nớ	n əː˦˥ 
nới	n əː˦˥ j 
nở	n əː˨˨ˀ 
nỡ	n əː˨ˀ˥ 
nợ	n əː˨˩ 
nụ	n uː˨˩ˀ 
nứa	n ɨə˦˥ 
nức	n ɨ˦˥ k 
nứng	n ɨ˦˥ ŋ 
nứt	n ɨ˦˥ k 
nừng	n ɨ˦˨ ŋ 
nửa	n ɨə˨˨ˀ 
nữ	n ɨː˨ˀ˥ 
nữa	n ɨə˨ˀ˥ 
nực	n ɨ˨˩ k 
nựng	n ɨ˨˩ ŋ 
o	ʔ ɔː˨˥ 
oai	w aː˨˥ j 
oan	w aː˨˥ ŋ 
oanh	w a˨˥ n 
oi	ʔ ɔː˨˥ j 
ok	ʔ ɔ˨˥ kp 
om	ʔ ɔː˨˥ m 
ong	ʔ ɔ˨˥ ŋm 
oà	w aː˦˨ 
oách	w a˦˥ c 
oái	w aː˦˥ j 
oán	w aː˦˥ ŋ 
oóc	ʔ ɔː˦˥ k 
oải	w aː˨˨ˀ j 
oắt	w a˦˥ k 
oằn	w a˦˨ ŋ 
oẳng	w a˨˨ˀ ŋ 
oặt	w a˨˩ k 
pa	p aː˨˥ 
panh	p a˨˥ n 
pao	p aː˨˥ w 
pha	f aː˨˥ 
phai	f aː˨˥ j 
phan	f aː˨˥ ŋ 
phang	f aː˨˥ ŋ 
phanh	f a˨˥ n 
phao	f aː˨˥ w 
phau	f a˨˥ w 
phay	f a˨˥ j 
phe	f ɛː˨˥ 
phen	f ɛː˨˥ ŋ 
pheng	f ɛː˨˥ ŋ 
phi	f iː˨˨ 
phim	f iː˨˨ m 
phin	f iː˨˨ n 
phiu	f iː˨˨ w 
phiên	f iə˨˨ n 
phiếm	f iə˨˦ m 
phiến	f iə˨˦ n 
phiếu	f iə˨˦ w 
phiền	f iə˨˨ n 
pho	f ɔː˨˥ 
phoi	f ɔː˨˥ j 
phong	f ɔ˨˥ ŋm 
phu	f uː˨˨ 
phun	f uː˨˨ n 
phuy	f w iː˨˨ 
phà	f aː˦˨ 
phàm	f aː˦˨ m 
phàn	f aː˦˨ ŋ 
phàng	f aː˦˨ ŋ 
phào	f aː˦˨ w 
phá	f aː˦˥ 
phác	f aː˦˥ k 
phách	f a˦˥ c 
phái	f aː˦˥ j 
phán	f aː˦˥ ŋ 
pháo	f aː˦˥ w 
pháp	f aː˦˥ p 
phát	f aː˦˥ k 
phân	f ə˨˥ ŋ 
phây	f ə˨˥ j 
phè	f ɛː˦˨ 
phèn	f ɛː˦˨ ŋ 
phèo	f ɛː˦˨ w 
phép	f ɛː˦˥ p 
phét	f ɛː˦˥ k 
phê	f eː˨˥ 
phên	f eː˨˨ n 
phì	f iː˨˨ 
phình	f i˨˨ ɲ 
phí	f iː˨˦ 
phía	f iə˦˥ 
phích	f i˦˥ c 
phím	f iː˨˦ m 
phò	f ɔː˦˨ 
phòi	f ɔː˦˨ j 
phòng	f ɔ˦˨ ŋm 
phó	f ɔː˦˥ 
phóng	f ɔ˦˥ ŋm 
phô	f oː˨˥ 
phôi	f oː˨˥ j 
phông	f o˨˨ ŋm 
phù	f uː˨˨ 
phùn	f uː˨˨ n 
phùng	f u˦˨ ŋm 
phú	f uː˨˦ 
phúc	f u˦˥ kp 
phút	f uː˦˥ t 
phũ	f uː˨ˀ˥ 
phơ	f əː˨˥ 
phơi	f əː˨˥ j 
phương	f ɨə˨˨ ŋ 
phước	f ɨə˦˥ k 
phường	f ɨə˨˨ ŋ 
phượng	f ɨə˨˩ˀ ŋ 
phượt	f ɨə˨˩ t 
phạm	f aː˨˩ m 
phạt	f aː˨˩ k 
phả	f aː˨˨ˀ 
phải	f aː˨˨ˀ j 
phản	f aː˨˨ˀ ŋ 
phấn	f ə˦˥ ŋ 
phất	f ə˦˥ k 
phần	f ə˦˨ ŋ 
phẩm	f ə˨˨ˀ m 
phẩy	f ə˨˨ˀ j 
phẫu	f ə˨ˀ˥ w 
phận	f ə˨˩ ŋ 
phập	f ə˨˩ p 
phật	f ə˨˩ k 
phẳng	f a˨˨ˀ ŋ 
phế	f eː˦˥ 
phếch	f e˦˥ c 
phết	f eː˦˥ t 
phễu	f eː˨ˀ˥ w 
phệ	f eː˨˩ 
phỉ	f iː˨˩˨ 
phỉnh	f i˨˩˨ ɲ 
phị	f iː˨˩ˀ 
phịch	f i˨˩ c 
phọt	f ɔː˨˩ k 
phỏng	f ɔ˨˨ˀ ŋm 
phố	f oː˦˥ 
phối	f oː˦˥ j 
phốt	f oː˦˥ t 
phồng	f o˨˨ ŋm 
phổ	f oː˨˨ˀ 
phổi	f oː˨˨ˀ j 
phổng	f o˨˩˨ ŋm 
phỗng	f o˨ˀ˥ ŋm 
phới	f əː˦˥ j 
phớt	f əː˦˥ k 
phở	f əː˨˨ˀ 
phụ	f uː˨˩ˀ 
phục	f u˨˩ kp 
phụng	f u˨˩ ŋm 
phụt	f uː˨˩ t 
phủ	f uː˨˩˨ 
phủi	f uː˨˩˨ j 
phức	f ɨ˦˥ k 
phừng	f ɨ˦˨ ŋ 
pin	p iː˨˨ n 
pê	p eː˨˥ 
pí	p iː˨˦ 
pích	p i˦˥ c 
píp	p iː˦˥ p 
pô	p oː˨˥ 
pương	p ɨə˨˨ ŋ 
qua	k w aː˨˨ 
quai	k w aː˨˨ j 
quan	k w aː˨˨ n 
quang	k w aː˨˨ ŋ 
quanh	k w a˨˨ ɲ 
quay	k w a˨˨ j 
que	k w ɛː˨˨ 
quen	k w ɛː˨˨ n 
qui	k w iː˨˨ 
quy	k w iː˨˨ 
quyên	k w iə˨˨ n 
quyến	k w iə˨˦ n 
quyết	k w iə˦˥ t 
quyền	k w iə˨˨ n 
quyển	k w iə˨˩˨ n 
quyện	k w iə˨˩ˀ n 
quyệt	k w iə˨˩ t 
quà	k w aː˨˨ 
quàng	k w aː˨˨ ŋ 
quành	k w a˨˨ ɲ 
quào	k w aː˨˨ w 
quá	k w aː˨˦ 
quách	k w a˦˥ c 
quái	k w aː˨˦ j 
quán	k w aː˨˦ n 
quáng	k w aː˨˦ ŋ 
quánh	k w a˨˦ ɲ 
quát	k w aː˦˥ t 
quân	k w ə˨˨ n 
quây	k w ə˨˨ j 
quãng	k w aː˨ˀ˥ ŋ 
què	k w ɛː˨˨ 
qué	k w ɛː˨˦ 
quét	k w ɛː˦˥ t 
quê	k w eː˨˨ 
quên	k w eː˨˨ n 
quí	k w iː˨˦ 
quít	k w iː˦˥ t 
quý	k w iː˨˦ 
quýnh	k w i˨˦ ɲ 
quýt	k w iː˦˥ t 
quăn	k w a˨˨ n 
quăng	k w a˨˨ ŋ 
quơ	k w əː˨˨ 
quạ	k w aː˨˩ˀ 
quạc	k w aː˨˩ k 
quại	k w aː˨˩ˀ j 
quạnh	k w a˨˩ˀ ɲ 
quạt	k w aː˨˩ t 
quạu	k w a˨˩ˀ w 
quả	k w aː˨˩˨ 
quản	k w aː˨˩˨ n 
quảng	k w aː˨˩˨ ŋ 
quảy	k w a˨˩˨ j 
quấc	k w ə˦˥ k 
quấn	k w ə˨˦ n 
quất	k w ə˦˥ t 
quấy	k w ə˨˦ j 
quần	k w ə˨˨ n 
quầng	k w ə˨˨ ŋ 
quầy	k w ə˨˨ j 
quẩn	k w ə˨˩˨ n 
quẩy	k w ə˨˩˨ j 
quẫy	k w ə˨ˀ˥ j 
quận	k w ə˨˩ˀ n 
quật	k w ə˨˩ t 
quậy	k w ə˨˩ˀ j 
quắt	k w a˦˥ t 
quằn	k w a˨˨ n 
quặm	k w a˨˩ˀ m 
quặn	k w a˨˩ˀ n 
quặng	k w a˨˩ˀ ŋ 
quặt	k w a˨˩ t 
quẹo	k w ɛː˨˩ˀ w 
quẹt	k w ɛː˨˩ t 
quẻ	k w ɛː˨˩˨ 
quế	k w eː˨˦ 
quết	k w eː˦˥ t 
quỉ	k w iː˨˩˨ 
quốc	k w oː˦˥ k 
quở	k w əː˨˩˨ 
quỳ	k w iː˨˨ 
quỳnh	k w i˨˨ ɲ 
quỵ	k w iː˨˩ˀ 
quỵt	k w iː˨˩ t 
quỷ	k w iː˨˩˨ 
quỹ	k w iː˨ˀ˥ 
ra	r aː˨˥ 
rai	r aː˨˥ j 
ram	r aː˨˥ m 
ran	r aː˨˥ ŋ 
rang	r aː˨˥ ŋ 
ranh	r a˨˥ n 
rao	r aː˨˥ w 
rau	r a˨˥ w 
ray	r a˨˥ j 
ren	r ɛː˨˥ ŋ 
reo	r ɛː˨˥ w 
ri	r i˨˥ 
ria	r iə˨˥ 
rinh	r ɨ˨˥ n 
riu	r i˨˥ w 
riêng	r iː˨˥ ŋ 
riêu	r iː˨˥ w 
riết	r iː˦˥ k 
riềng	r iː˦˨ ŋ 
riệu	r iː˨˩ w 
ro	r ɔː˨˥ 
roi	r ɔː˨˥ j 
rong	r ɔ˨˥ ŋm 
room	r ɔː˨˥ m 
ru	r u˨˥ 
rum	r ɨ˨˥ m 
run	r u˨˥ ŋm 
rung	r u˨˥ ŋm 
ruốc	r uː˦˥ k 
ruồi	r uː˦˨ j 
ruồng	r uː˦˨ ŋ 
ruộng	r uː˨˩ ŋ 
ruột	r uː˨˩ k 
rà	r aː˦˨ 
ràn	r aː˦˨ ŋ 
ràng	r aː˦˨ ŋ 
rành	r a˦˨ n 
rào	r aː˦˨ w 
rày	r a˦˨ j 
rá	r aː˦˥ 
rác	r aː˦˥ k 
rách	r a˦˥ t 
rái	r aː˦˥ j 
rám	r aː˦˥ m 
rán	r aː˦˥ ŋ 
ráng	r aː˦˥ ŋ 
ráo	r aː˦˥ w 
ráp	r aː˦˥ p 
rát	r aː˦˥ k 
ráy	r a˦˥ j 
râm	r ə˨˥ m 
rân	r ə˨˥ ŋ 
râu	r ə˨˥ w 
rây	r ə˨˥ j 
rã	r aː˨˨ˀ 
rãi	r aː˨˨ˀ j 
rãnh	r a˨˨ˀ n 
rãy	r a˨˨ˀ j 
rèm	r ɛː˦˨ m 
rèn	r ɛː˦˨ ŋ 
ré	r ɛː˦˥ 
rén	r ɛː˦˥ ŋ 
réo	r ɛː˦˥ w 
rét	r ɛː˦˥ k 
rê	r eː˨˥ 
rên	r əː˨˥ n 
rêu	r eː˨˥ w 
rì	r i˦˨ 
rìa	r iə˦˨ 
rình	r ɨ˦˨ n 
rìu	r i˦˨ w 
rích	r ɨ˦˥ t 
rít	r ɨ˦˥ t 
ríu	r i˦˥ w 
rò	r ɔː˦˨ 
ròm	r ɔː˦˨ m 
ròng	r ɔ˦˨ ŋm 
róc	r ɔ˦˥ kp 
rót	r ɔː˦˥ k 
rô	r oː˨˥ 
rông	r ɔ˨˥ ŋm 
rõ	r ɔː˨˨ˀ 
rùa	r uə˦˨ 
rùm	r ɨ˦˨ m 
rùn	r u˦˨ ŋm 
rùng	r u˦˨ ŋm 
rú	r u˦˥ 
rúc	r u˦˥ kp 
rún	r u˦˥ ŋm 
rút	r u˦˥ kp 
răn	r a˨˥ ŋ 
răng	r a˨˥ ŋ 
rũ	r u˨˨ˀ 
rũa	r uə˨˨ˀ 
rơ	r əː˨˥ 
rơi	r əː˨˥ j 
rơm	r əː˨˥ m 
rưng	r ɨ˨˥ ŋ 
rươi	r ɨː˨˥ j 
rương	r ɨː˨˥ ŋ 
rước	r ɨː˦˥ k 
rưới	r ɨː˦˥ j 
rướm	r ɨː˦˥ m 
rướn	r ɨː˦˥ ŋ 
rường	r ɨː˦˨ ŋ 
rưởi	r ɨː˨˨ˀ j 
rưỡi	r ɨː˨˨ˀ j 
rượi	r ɨː˨˩ j 
rượt	r ɨː˨˩ k 
rượu	r ɨː˨˩ w 
rạ	r aː˨˩ 
rạc	r aː˨˩ k 
rạch	r a˨˩ t 
rạn	r aː˨˩ ŋ 
rạng	r aː˨˩ ŋ 
rạo	r aː˨˩ w 
rạp	r aː˨˩ p 
rạt	r aː˨˩ k 
rải	r aː˨˨ˀ j 
rảnh	r a˨˨ˀ n 
rảo	r aː˨˨ˀ w 
rảy	r a˨˨ˀ j 
rấm	r ə˦˥ m 
rấn	r ə˦˥ ŋ 
rấp	r ə˦˥ p 
rất	r ə˦˥ k 
rầm	r ə˦˨ m 
rầu	r ə˦˨ w 
rầy	r ə˦˨ j 
rẩy	r ə˨˨ˀ j 
rẫy	r ə˨˨ˀ j 
rậm	r ə˨˩ m 
rận	r ə˨˩ ŋ 
rập	r ə˨˩ p 
rắc	r a˦˥ k 
rắm	r a˦˥ m 
rắn	r a˦˥ ŋ 
rắp	r a˦˥ p 
rắt	r a˦˥ k 
rằm	r a˦˨ m 
rằn	r a˦˨ ŋ 
rằng	r a˦˨ ŋ 
rặn	r a˨˩ ŋ 
rặng	r a˨˩ ŋ 
rẻ	r ɛː˨˨ˀ 
rẻo	r ɛː˨˨ˀ w 
rẽ	r ɛː˨˨ˀ 
rế	r eː˦˥ 
rếch	r əː˦˥ t 
rết	r əː˦˥ t 
rề	r eː˦˨ 
rền	r əː˦˨ n 
rể	r eː˨˨ˀ 
rễ	r eː˨˨ˀ 
rệ	r eː˨˩ 
rệp	r eː˨˩ p 
rệt	r əː˨˩ t 
rỉ	r i˨˨ˀ 
rỉa	r iə˨˨ˀ 
rịch	r ɨ˨˩ t 
rịn	r ɨ˨˩ n 
rọ	r ɔː˨˩ 
rọc	r ɔ˨˩ kp 
rọi	r ɔː˨˩ j 
rối	r oː˦˥ j 
rốn	r o˦˥ ŋ 
rống	r ɔ˦˥ ŋm 
rốt	r o˦˥ k 
rồ	r oː˦˨ 
rồi	r oː˦˨ j 
rồng	r ɔ˦˨ ŋm 
rổ	r oː˨˨ˀ 
rỗi	r oː˨˨ˀ j 
rỗng	r ɔ˨˨ˀ ŋm 
rộ	r oː˨˩ 
rộn	r o˨˩ ŋ 
rộng	r ɔ˨˩ ŋm 
rớ	r əː˦˥ 
rớm	r əː˦˥ m 
rớp	r əː˦˥ p 
rớt	r əː˦˥ k 
rờ	r əː˦˨ 
rời	r əː˦˨ j 
rờn	r əː˦˨ ŋ 
rởm	r əː˨˨ˀ m 
rỡ	r əː˨˨ˀ 
rợ	r əː˨˩ 
rợn	r əː˨˩ ŋ 
rợp	r əː˨˩ p 
rục	r u˨˩ kp 
rụi	r u˨˩ j 
rụng	r u˨˩ ŋm 
rụt	r u˨˩ kp 
rủ	r u˨˨ˀ 
rủa	r uə˨˨ˀ 
rủi	r u˨˨ˀ j 
rủn	r u˨˨ˀ ŋm 
rứa	r ɨə˦˥ 
rứt	r ɨ˦˥ k 
rừng	r ɨ˦˨ ŋ 
rử	r ɨ˨˨ˀ 
rửa	r ɨə˨˨ˀ 
rữa	r ɨə˨˨ˀ 
rựa	r ɨə˨˩ 
rực	r ɨ˨˩ k 
sa	s aː˨˥ 
sai	s aː˨˥ j 
sam	s aː˨˥ m 
san	s aː˨˥ ŋ 
sang	s aː˨˥ ŋ 
sanh	s a˨˥ n 
sao	s aː˨˥ w 
sau	s a˨˥ w 
say	s a˨˥ j 
se	s ɛː˨˥ 
sen	s ɛː˨˥ ŋ 
seo	s ɛː˨˥ w 
si	s iː˨˨ 
sim	s iː˨˨ m 
sin	s iː˨˨ n 
sing	s i˨˨ ɲ 
sinh	s i˨˨ ɲ 
siêng	s iə˨˨ ŋ 
siêu	s iə˨˨ w 
siết	s iə˦˥ t 
so	s ɔː˨˥ 
soi	s ɔː˨˥ j 
son	s ɔː˨˥ ŋ 
song	s ɔ˨˥ ŋm 
soài	s w aː˦˨ j 
soát	s w aː˦˥ k 
soóc	s ɔː˦˥ k 
soạn	s w aː˨˩ ŋ 
soọc	s ɔː˨˩ k 
su	s uː˨˨ 
sui	s uː˨˨ j 
sum	s uː˨˨ m 
sun	s uː˨˨ n 
sung	s u˨˥ ŋm 
suy	s w iː˨˨ 
suyễn	s w iə˨ˀ˥ n 
suôn	s uə˨˨ n 
suýt	s w iː˦˥ t 
suất	s w ə˦˥ k 
suối	s uə˨˦ j 
suốt	s uə˦˥ t 
suỵt	s w iː˨˩ t 
sà	s aː˦˨ 
sài	s aː˦˨ j 
sàn	s aː˦˨ ŋ 
sàng	s aː˦˨ ŋ 
sành	s a˦˨ n 
sào	s aː˦˨ w 
sá	s aː˦˥ 
sách	s a˦˥ c 
sái	s aː˦˥ j 
sám	s aː˦˥ m 
sán	s aː˦˥ ŋ 
sáng	s aː˦˥ ŋ 
sánh	s a˦˥ n 
sáo	s aː˦˥ w 
sáp	s aː˦˥ p 
sát	s aː˦˥ k 
sáu	s a˦˥ w 
sâm	s ə˨˥ m 
sân	s ə˨˥ ŋ 
sâu	s ə˨˥ w 
sãi	s aː˨ˀ˥ j 
séc	s ɛː˦˥ k 
sét	s ɛː˦˥ k 
sên	s eː˨˨ n 
sênh	s e˨˨ ɲ 
sình	s i˨˨ ɲ 
sính	s i˨˦ ɲ 
síp	s iː˦˥ p 
sít	s iː˦˥ t 
sò	s ɔː˦˨ 
sòng	s ɔ˦˨ ŋm 
sóc	s ɔ˦˥ kp 
sói	s ɔː˦˥ j 
sóng	s ɔ˦˥ ŋm 
