<eps>	sil 
cáng	k aː˦˥ ŋ 
cánh	k a˦˥ n 
cáo	k aː˦˥ w 
cáp	k aː˦˥ p 
cát	k aː˦˥ k 
cáu	k a˦˥ w 
cáy	k a˦˥ j 
câm	k ə˨˥ m 
cân	k ə˨˥ ŋ 
câng	k ə˨˥ ŋ 
câu	k ə˨˥ w 
cây	k ə˨˥ j 
cãi	k aː˨ˀ˥ j 
cò	k ɔː˦˨ 
còi	k ɔː˦˨ j 
còm	k ɔː˦˨ m 
còn	k ɔː˦˨ ŋ 
còng	k ɔ˦˨ ŋm 
có	k ɔː˦˥ 
cóc	k ɔ˦˥ kp 
cói	k ɔː˦˥ j 
cóng	k ɔ˦˥ ŋm 
cóp	k ɔː˦˥ p 
cót	k ɔː˦˥ k 
cô	k oː˨˥ 
côi	k oː˨˥ j 
côn	k oː˨˨ n 
công	k o˨˨ ŋm 
cõi	k ɔː˨ˀ˥ j 
cõng	k ɔ˨ˀ˥ ŋm 
cù	k uː˨˨ 
cùi	k uː˨˨ j 
cùm	k uː˨˨ m 
cùn	k uː˨˨ n 
cùng	k u˦˨ ŋm 
cú	k uː˨˦ 
cúc	k u˦˥ kp 
cúi	k uː˨˦ j 
cúm	k uː˨˦ m 
cún	k uː˨˦ n 
cúng	k u˦˥ ŋm 
cúp	k uː˦˥ p 
căm	k a˨˥ m 
căn	k a˨˥ ŋ 
căng	k a˨˥ ŋ 
cũ	k uː˨ˀ˥ 
cũi	k uː˨ˀ˥ j 
cũng	k u˨ˀ˥ ŋm 
cơ	k əː˨˥ 
cơi	k əː˨˥ j 
cơm	k əː˨˥ m 
cơn	k əː˨˥ ŋ 
cư	k ɨː˨˨ 
cưa	k ɨə˨˥ 
cưng	k ɨ˨˥ ŋ 
cươi	k ɨə˨˨ j 
cương	k ɨə˨˨ ŋ 
cước	k ɨə˦˥ k 
cưới	k ɨə˨˦ j 
cướp	k ɨə˦˥ p 
cười	k ɨə˨˨ j 
cườm	k ɨə˨˨ m 
cường	k ɨə˨˨ ŋ 
cưỡi	k ɨə˨ˀ˥ j 
cưỡng	k ɨə˨ˀ˥ ŋ 
cược	k ɨə˨˩ k 
cạ	k aː˨˩ 
cạc	k aː˨˩ k 
cạch	k a˨˩ c 
cạm	k aː˨˩ m 
cạn	k aː˨˩ ŋ 
cạnh	k a˨˩ n 
cạo	k aː˨˩ w 
cạp	k aː˨˩ p 
cạy	k a˨˩ j 
cả	k aː˨˨ˀ 
cải	k aː˨˨ˀ j 
cảm	k aː˨˨ˀ m 
cản	k aː˨˨ˀ ŋ 
cảng	k aː˨˨ˀ ŋ 
cảnh	k a˨˨ˀ n 
cấm	k ə˦˥ m 
cấn	k ə˦˥ ŋ 
cấp	k ə˦˥ p 
cất	k ə˦˥ k 
cấu	k ə˦˥ w 
cấy	k ə˦˥ j 
cầm	k ə˦˨ m 
cần	k ə˦˨ ŋ 
cầu	k ə˦˨ w 
cầy	k ə˦˨ j 
cẩm	k ə˨˨ˀ m 
cẩn	k ə˨˨ˀ ŋ 
cẩu	k ə˨˨ˀ w 
cận	k ə˨˩ ŋ 
cập	k ə˨˩ p 
cật	k ə˨˩ k 
cậu	k ə˨˩ w 
cậy	k ə˨˩ j 
cắc	k a˦˥ k 
cắm	k a˦˥ m 
cắn	k a˦˥ ŋ 
cắp	k a˦˥ p 
cắt	k a˦˥ k 
cằm	k a˦˨ m 
cằn	k a˦˨ ŋ 
cẳng	k a˨˨ˀ ŋ 
cặc	k a˨˩ k 
cặn	k a˨˩ ŋ 
cặp	k a˨˩ p 
cọ	k ɔː˨˩ 
cọc	k ɔ˨˩ kp 
cọng	k ɔ˨˩ ŋm 
cọp	k ɔː˨˩ p 
cỏ	k ɔː˨˨ˀ 
cỏi	k ɔː˨˨ˀ j 
cố	k oː˦˥ 
cốc	k o˦˥ kp 
cối	k oː˦˥ j 
cốm	k oː˦˥ m 
cống	k o˨˦ ŋm 
cốp	k oː˦˥ p 
cốt	k oː˦˥ t 
cồn	k oː˨˨ n 
cồng	k o˨˨ ŋm 
cổ	k oː˨˨ˀ 
cổng	k o˨˩˨ ŋm 
cỗ	k oː˨ˀ˥ 
cỗi	k oː˨ˀ˥ j 
cộ	k oː˨˩ 
cộc	k o˨˩ kp 
cội	k oː˨˩ j 
cộm	k oː˨˩ m 
cộng	k o˨˩ˀ ŋm 
cột	k oː˨˩ t 
cớ	k əː˦˥ 
cớm	k əː˦˥ m 
cờ	k əː˦˨ 
cở	k əː˨˨ˀ 
cởi	k əː˨˨ˀ j 
cỡ	k əː˨ˀ˥ 
cỡi	k əː˨ˀ˥ j 
cợt	k əː˨˩ k 
cụ	k uː˨˩ˀ 
cục	k u˨˩ kp 
cụm	k uː˨˩ˀ m 
cụng	k u˨˩ ŋm 
cụp	k uː˨˩ p 
cụt	k uː˨˩ t 
củ	k uː˨˩˨ 
của	k uə˨˨ˀ 
củi	k uː˨˩˨ j 
củng	k u˨˨ˀ ŋm 
cứ	k ɨː˨˦ 
cứa	k ɨə˦˥ 
cứng	k ɨ˦˥ ŋ 
cứt	k ɨ˦˥ k 
cứu	k ɨ˦˥ w 
cừu	k ɨ˦˨ w 
cử	k ɨː˨˩˨ 
cửa	k ɨə˨˨ˀ 
cửi	k ɨ˨˨ˀ j 
cửu	k ɨ˨˨ˀ w 
cự	k ɨː˨˩ˀ 
cựa	k ɨə˨˩ 
cực	k ɨ˨˩ k 
cựu	k ɨ˨˩ w 
da	j aː˨˥ 
dai	j aː˨˥ j 
dam	j aː˨˥ m 
dang	j aː˨˥ ŋ 
danh	j a˨˥ n 
dao	j aː˨˥ w 
di	j i˨˥ 
dim	j i˨˥ m 
dinh	j ɨ˨˥ n 
diêm	j iː˨˥ m 
diếp	j iː˦˥ p 
diết	j iː˦˥ k 
diều	j iː˦˨ w 
diễm	j iː˨˨ˀ m 
diễn	j iː˨˨ˀ ŋ 
diệc	j iː˨˩ k 
diện	j iː˨˩ ŋ 
diệp	j iː˨˩ p 
diệt	j iː˨˩ k 
diệu	j iː˨˩ w 
do	j ɔː˨˥ 
doanh	j w a˨˥ n 
dom	j ɔː˨˥ m 
don	j ɔː˨˥ ŋ 
